date,description,voucher_type,amount,closing
15/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13568502520*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,550.00,2664835.82
15/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13568637273*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2800.00,2667635.82
15/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13568668393*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,100.00,2667735.82
15/05/2026,TO TRANSFER-UPI/DR/613518202810/MansiCo/HDFC/cca.701034/UPI- TRANSFER TO 4897694162092 /,Payment,18000.00,2649735.82
15/05/2026,TO TRANSFER-UPI/DR/613518232018/MansiCo/HDFC/cca.701034/UPI- TRANSFER TO 4897694162092 /,Payment,18000.00,2631735.82
15/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13568850803*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,450.00,2632185.82
15/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13569071826*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,2632485.82
16/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13676484032*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,450.00,2632935.82
16/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13676625736*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1750.00,2634685.82
16/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13677012526*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,3850.00,2638535.82
16/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13677181927*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,550.00,2639085.82
16/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13677318659*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,600.00,2639685.82
16/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13677319672*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,600.00,2640285.82
16/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13677504388*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1650.00,2641935.82
16/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13677811800*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,600.00,2642535.82
16/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13677852984*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2500.00,2645035.82
16/05/2026,TO TRANSFER-INB NEFT UTR NO:SBIN126136060848-SHIVAMCOMPUTERS NEFT INB: CNAFDOYAW5 TRANSFER TO 4698136044304 / SHIVAM COMPUTERS,Payment,350000.00,2295035.82
16/05/2026,TO TRANSFER-INB NEFT UTR NO:SBIN126136061444-L AND LENTERPRISES NEFT INB: CNAFDOYBJ7 TRANSFER TO 4697154044300 / L AND L ENTERPRISES,Payment,44991.00,2250044.82
17/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13785472582*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1500.00,2251544.82
17/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13785508545*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,12000.00,2263544.82
17/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13785510928*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,3250.00,2266794.82
17/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13785571205*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,11000.00,2277794.82
17/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13785725907*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,2278094.82
17/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13785756443*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,500.00,2278594.82
17/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13786135333*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1900.00,2280494.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13893116349*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1800.00,2282294.82
18/05/2026,TO TRANSFER-UPI/DR/613871766585/LOKESHE/BARB/lokeshpare/UPI- TRANSFER TO 4897690162095 /,Payment,790.00,2281504.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13893416488*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2350.00,2283854.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13893455079*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,650.00,2284504.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13893562697*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,2284804.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13893679643*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,9800.00,2294604.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13893893884*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,500.00,2295104.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13894092398*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,400.00,2295504.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13894141891*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,600.00,2296104.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13894171789*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,800.00,2296904.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13894175488*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,50.00,2296954.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13894653843*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,400.00,2297354.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13894658471*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,600.00,2297954.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13894733247*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,4953.00,2302907.82
18/05/2026,TO TRANSFER-UPI/DR/613816266418/SANJAYK/SBIN/7839284329/UPI- TRANSFER TO 4897690162095 /,Payment,4953.00,2297954.82
18/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13894826130*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,5490.00,2303444.82
19/05/2026,TO TRANSFER-UPI/DR/613935099507/KARANKA/UBIN/kashaypk39/UPI- TRANSFER TO 4897691162095 /,Payment,1000.00,2302444.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13902004324*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1000.00,2303444.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13902014077*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1200.00,2304644.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13902229075*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,750.00,2305394.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13902229794*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,100.00,2305494.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13902407949*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,47000.00,2352494.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13902427280*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,250.00,2352744.82
19/05/2026,TO TRANSFER-UPI/DR/613960372411/SUMITPA/UBIN/sumitpal66/UPI- TRANSFER TO 4897691162095 /,Payment,2720.00,2350024.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13902733511*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2600.00,2352624.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13902821480*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,100.00,2352724.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13903233010*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,650.00,2353374.82
19/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13903274724*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2400.00,2355774.82
19/05/2026,TO TRANSFER-UPI/DR/613987737239/MOHAMMAD/BARB/mohammad.8/UPI- TRANSFER TO 4897691162095 /,Payment,1000.00,2354774.82
20/05/2026,BY TRANSFER-NEFT*BKID0007696*BKIDN26140513540*SHRI SAIENTERPR- TRANSFER FROM 99509044300 /,Receipt,10500.00,2365274.82
20/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG14010656484*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,630.00,2365904.82
20/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG14010872250*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,750.00,2366654.82
20/05/2026,BY TRANSFER-NEFT*RBIS0GOUKEP*RBISH00597047399*GOUKSPARSHRCH a- TRANSFER FROM 99509044300 /,Receipt,1450.00,2368104.82
21/05/2026,BY TRANSFER-NEFT*ICIC0099999*IN22614102375039*GOVERNEMENTEMAR- TRANSFER FROM 99509044300 /,Receipt,10000.00,2378104.82
21/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG14119242538*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,200.00,2378304.82
21/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG14119409634*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1500.00,2379804.82
21/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG14119431400*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,2380104.82
21/05/2026,TO TRANSFER-UPI/DR/614196026149/KARANKA/UBIN/kashaypk39/UPI- TRANSFER TO 4897693162093 /,Payment,500.00,2379604.82
21/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG14119815969*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,950.00,2380554.82
21/05/2026,TO TRANSFER-UPI/DR/614107679718/KAMALGA/PUNB/kamalgahto/UPI- TRANSFER TO 4897693162093 /,Payment,900.00,2379654.82
21/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG14120419438*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1000.00,2380654.82
22/05/2026,TO TRANSFER-UPI/DR/614234762233/KAMLESH/UBIN/kamleshgah/UPI- TRANSFER TO 4897694162092 /,Payment,400.00,2380254.82
22/05/2026,CREDIT-000228DD CANCEL- /,Receipt,13000.00,2393254.82
22/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG14227986164*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,100.00,2393354.82
22/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG14228016242*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2500.00,2395854.82
22/05/2026,TO TRANSFER-UPI/DR/614247372180/JONIPAL/BARB/jonipal.m1/UPI- TRANSFER TO 4897694162092 /,Payment,18800.00,2377054.82
