date,description,voucher_type,amount,closing
05/11/2025,NEFT CR-YESAP53093447939-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,92.00,-366615.92
06/11/2025,NEFT CR-YESAP53103359431- YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,405.00,-366210.92
07/11/2025,NEFT CR-YESAP53113598623-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,420.00,-365790.92
08/11/2025,NEFT CR-YESAP53122652639-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,155.00,-365635.92
09/11/2025,NEFT CR-YESAP53134476042-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,820.00,-364815.92
10/11/2025,NEFT CR-YESAP53144226819-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,755.00,-364060.92
11/11/2025,NEFT CR-YESAP53153420609-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,100.00,-363960.92
12/11/2025,NEFT CR-YESAP53164132843-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,125.00,-363835.92
13/11/2025,NEFT CR-YESAP53174189042-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,254.95,-363580.97
14/11/2025,NEFT CR-YESAP53183373358-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,360.00,-363220.97
15/11/2025,NEFT CR-YESAP53194065524-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,402.00,-362818.97
16/11/2025,NEFT CR-YESAP53203871279- YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,240.00,-362578.97
17/11/2025,NEFT CR-YESAP53213585293-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,261.00,-362317.97
18/11/2025,NEFT CR-YESAP53222663599-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,215.00,-362102.97
19/11/2025,NEFT CR-YESAP53234442398-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,824.00,-361278.97
20/11/2025,NEFT CR-YESAP53243328153-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,805.00,-360473.97
21/11/2025,NEFT CR-YESAP53254232601-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,690.00,-359783.97
22/11/2025,NEFT CR-YESAP53262153487-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,498.00,-359285.97
23/11/2025,NEFT CR-YESAP53273204952-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,695.00,-358590.97
24/11/2025,NEFT CR-YESAP53283685279-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,425.00,-358165.97
25/11/2025,NEFT CR-YESAP53294148314-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,730.00,-357435.97
26/11/2025,NEFT CR-YESAP53303943015- YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,895.00,-356540.97
27/11/2025,NEFT CR-YESAP53314324619-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,610.00,-355930.97
28/11/2025,NEFT CR-YESAP53324189293-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,120.00,-355810.97
29/11/2025,NEFT CR-YESAP53334232562-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,205.00,-355605.97
30/11/2025,NEFT CR-YESAP53344123549-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,595.00,-355010.97
30/11/2025,CASA DEBIT INTEREST CAPITALIZED,Payment,3124.00,-358134.97
01/12/2025,NEFT CR-YESAP53352801908-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,499.00,-357635.97
02/12/2025,NEFT CR-YESAP53363229441-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,73.00,-357562.97
03/12/2025,NEFT CR-YESAP53374324357-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,894.99,-356667.98
04/12/2025,NEFT CR-YESAP53384198845-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,475.00,-356192.98
05/12/2025,NEFT CR-YESAP53393083593-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDE MPTION,Receipt,210.00,-355982.98
06/12/2025,NEFT CR-YESAP53404145018-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,200.00,-355782.98
07/12/2025,NEFT CR-YESAP53414467812-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,180.00,-355602.98
08/12/2025,NEFT CR-YESAP53423411606-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,85.00,-355517.98
09/12/2025,NEFT CR-YESAP53434328001-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,480.00,-355037.98
10/12/2025,NEFT CR-YESAP53443315102-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,563.00,-354474.98
11/12/2025,NEFT CR-YESAP53454056558-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,105.00,-354369.98
12/12/2025,NEFT CR-YESAP53462901413-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,325.00,-354044.98
